roll_belt,pitch_belt,yaw_belt,total_accel_belt,gyros_belt_x,gyros_belt_y,gyros_belt_z,accel_belt_x,accel_belt_y,accel_belt_z,magnet_belt_x,magnet_belt_y,magnet_belt_z,roll_arm,pitch_arm,yaw_arm,total_accel_arm,gyros_arm_x,gyros_arm_y,gyros_arm_z,accel_arm_x,accel_arm_y,accel_arm_z,magnet_arm_x,magnet_arm_y,magnet_arm_z,roll_dumbbell,pitch_dumbbell,yaw_dumbbell,total_accel_dumbbell,gyros_dumbbell_x,gyros_dumbbell_y,gyros_dumbbell_z,accel_dumbbell_x,accel_dumbbell_y,accel_dumbbell_z,magnet_dumbbell_x,magnet_dumbbell_y,magnet_dumbbell_z,roll_forearm,pitch_forearm,yaw_forearm,total_accel_forearm,gyros_forearm_x,gyros_forearm_y,gyros_forearm_z,accel_forearm_x,accel_forearm_y,accel_forearm_z,magnet_forearm_x,magnet_forearm_y,magnet_forearm_z,classe
0.96,4.77,-87.3,5,0.06,0,-0.02,-25,2,40,48,628,-318,0,0,0,40,-0.22,-0.24,0.36,150,2,-361,708,-136,-202,64.17055418,-42.99838059,-75.33300271,29,0.4,0.08,-0.25,-117,168,-192,-470,380,84,-172,37.4,-141,38,-0.45,0.39,-0.2,-90,-299,-194,-397,-375,211,D
0.71,2.82,-87.7,3,-0.06,-0.03,-0.08,-9,2,29,41,575,-414,131,-19.1,-50.8,49,0.35,0.03,0.18,118,2,-463,401,-239,-468,49.54217673,26.6118703,99.64378797,10,0.31,-0.27,-0.2,26,47,83,-355,263,353,178,16.2,-82.6,23,-0.43,2.67,1,37,-142,172,285,-831,137,E
124,-41.8,165,18,0.1,0.11,-0.18,49,46,-159,166,609,-290,-18.9,-15.5,-52.4,9,-0.16,-0.75,0.9,-28,-80,8,522,63,425,43.20757079,-28.10434393,-104.4563332,19,0.13,0.02,0.13,-51,77,-159,-569,255,18,0,0,0,43,1.04,-0.55,0.21,-264,332,27,-680,597,753,D
126,-44.3,165,18,0.11,0.11,-0.15,49,44,-160,167,607,-311,-99.7,-85.1,99.6,42,-0.35,-0.19,0.54,100,-167,-366,422,-145,-510,97.68668425,-24.62300194,-52.79329757,19,-0.56,1.3,0.38,-45,153,-93,-467,376,92,0,0,0,48,0.5,1.64,0.8,-81,468,12,-328,835,800,B
-15.8,-2.94,-84,6,-0.08,-0.18,-0.9,-13,-4,54,14,629,-319,66.6,-20.4,74.5,19,-3.1,0.71,-0.36,-100,156,8,332,120,554,51.22041017,47.10206151,83.93744392,6,1.48,-1.04,-0.15,25,27,41,-385,293,308,-176,4.1,113,43,-0.18,2.02,0.61,-88,361,193,-759,1240,-585,D
1.08,5.98,-87.9,4,-0.1,0,-0.02,-18,5,39,56,634,-299,0,0,0,36,-0.02,0.02,0,-263,170,-165,-342,431,424,42.53790343,-59.91938652,-79.70359218,30,0.47,-0.11,-0.79,-164,120,-208,-536,284,88,136,-14.8,68.6,37,-0.4,0.74,0.75,256,223,-119,25,648,758,C
115,20.2,-9.25,18,0.06,0.11,-0.2,-22,64,-158,6,604,-316,-111,-41.2,-66.8,22,0.34,-0.79,0.82,-186,-105,41,24,133,667,-28.49246995,-24.01427809,119.3715104,5,0.08,0.16,-0.05,-11,-13,43,-520,332,-166,-21.9,21.4,-154,33,0.61,-2.44,-0.2,-317,44,27,-667,462,547,A
115,17.2,-6.55,17,0.24,0.13,-0.16,-15,61,-151,16,608,-314,-34.5,-17.6,-14.1,14,-0.93,-0.13,0.8,92,-86,-56,702,-1,176,96.86928548,50.77208857,29.47768328,17,-0.08,-0.77,-0.49,82,139,49,-125,620,-62,-54.3,-24.2,126,53,0.26,-0.87,0.07,-288,-433,-54,55,-717,-190,B
0.58,3.18,-88.1,4,0.02,0.02,0,0,4,43,46,630,-306,0,0,0,16,-2.73,0.98,-0.59,-1,128,-85,661,68,282,67.96717413,-38.1153812,-75.19356477,32,0.39,0.24,-0.48,-116,196,-213,-468,421,-26,69.3,-7.93,98.8,32,-0.93,2.97,-0.48,153,223,-152,-229,788,873,A
117,39.5,-6.54,19,-0.1,0.35,-0.21,-37,55,-173,16,588,-353,148,-34.1,115,33,0.39,-0.48,0.56,-306,-42,-87,-425,289,481,-91.71132267,-23.36598077,59.71766581,3,-0.06,0.11,-0.02,-7,-24,17,-537,303,-86,-0.56,-1.63,-82.4,1,-0.03,0.06,-0.02,4,-1,-3,72,607,452,A
